alg,num_kmers,time,k,omega
bb,939,185,6,1
dc,939,101,6,1
rappas,939,151,6,1
bb,955,136,6,1
dc,955,48,6,1
rappas,955,136,6,1
bb,784,126,6,1
dc,784,41,6,1
rappas,784,129,6,1
bb,1391,207,6,1
dc,1391,108,6,1
rappas,1391,253,6,1
bb,1150,167,6,1
dc,1150,60,6,1
rappas,1150,149,6,1
bb,1025,170,6,1
dc,1025,50,6,1
rappas,1025,159,6,1
bb,1135,188,6,1
dc,1135,61,6,1
rappas,1135,191,6,1
bb,936,148,6,1
dc,936,47,6,1
rappas,936,184,6,1
bb,1171,207,6,1
dc,1171,103,6,1
rappas,1171,195,6,1
bb,976,134,6,1
dc,976,49,6,1
rappas,976,156,6,1
bb,1227,179,6,1
dc,1227,65,6,1
rappas,1227,173,6,1
bb,957,125,6,1
dc,957,49,6,1
rappas,957,145,6,1
bb,1030,179,6,1
dc,1030,51,6,1
rappas,1030,167,6,1
bb,841,147,6,1
dc,841,44,6,1
rappas,841,129,6,1
bb,1364,193,6,1
dc,1364,74,6,1
rappas,1364,234,6,1
bb,1263,161,6,1
dc,1263,64,6,1
rappas,1263,167,6,1
bb,1140,161,6,1
dc,1140,66,6,1
rappas,1140,178,6,1
bb,776,125,6,1
dc,776,39,6,1
rappas,776,115,6,1
bb,808,120,6,1
dc,808,43,6,1
rappas,808,134,6,1
bb,1040,150,6,1
dc,1040,50,6,1
rappas,1040,160,6,1
bb,1258,189,6,1
dc,1258,68,6,1
rappas,1258,197,6,1
bb,1066,128,6,1
dc,1066,50,6,1
rappas,1066,146,6,1
bb,1167,160,6,1
dc,1167,68,6,1
rappas,1167,180,6,1
bb,863,111,6,1
dc,863,44,6,1
rappas,863,139,6,1
bb,1322,164,6,1
dc,1322,68,6,1
rappas,1322,194,6,1
bb,1182,127,6,1
dc,1182,60,6,1
rappas,1182,151,6,1
bb,937,128,6,1
dc,937,47,6,1
rappas,937,148,6,1
bb,1268,244,6,1
dc,1268,66,6,1
rappas,1268,185,6,1
bb,698,139,6,1
dc,698,39,6,1
rappas,698,127,6,1
bb,640,108,6,1
dc,640,36,6,1
rappas,640,103,6,1
bb,1310,169,6,1
dc,1310,67,6,1
rappas,1310,195,6,1
bb,1250,165,6,1
dc,1250,61,6,1
rappas,1250,172,6,1
bb,1329,167,6,1
dc,1329,67,6,1
rappas,1329,191,6,1
bb,1209,153,6,1
dc,1209,61,6,1
rappas,1209,175,6,1
bb,911,126,6,1
dc,911,44,6,1
rappas,911,134,6,1
bb,620,117,6,1
dc,620,38,6,1
rappas,620,110,6,1
bb,780,120,6,1
dc,780,41,6,1
rappas,780,115,6,1
bb,776,161,6,1
dc,776,39,6,1
rappas,776,146,6,1
bb,992,152,6,1
dc,992,49,6,1
rappas,992,188,6,1
bb,897,137,6,1
dc,897,45,6,1
rappas,897,138,6,1
bb,1159,152,6,1
dc,1159,71,6,1
rappas,1159,143,6,1
bb,935,147,6,1
dc,935,47,6,1
rappas,935,156,6,1
bb,1044,148,6,1
dc,1044,51,6,1
rappas,1044,145,6,1
bb,807,156,6,1
dc,807,40,6,1
rappas,807,130,6,1
bb,1195,153,6,1
dc,1195,69,6,1
rappas,1195,181,6,1
bb,1011,146,6,1
dc,1011,48,6,1
rappas,1011,134,6,1
bb,866,136,6,1
dc,866,45,6,1
rappas,866,213,6,1
bb,1003,137,6,1
dc,1003,50,6,1
rappas,1003,144,6,1
bb,1460,175,6,1
dc,1460,80,6,1
rappas,1460,222,6,1
bb,1200,152,6,1
dc,1200,62,6,1
rappas,1200,186,6,1
bb,884,158,6,1
dc,884,43,6,1
rappas,884,149,6,1
bb,989,161,6,1
dc,989,48,6,1
rappas,989,169,6,1
bb,1092,148,6,1
dc,1092,56,6,1
rappas,1092,164,6,1
bb,915,152,6,1
dc,915,46,6,1
rappas,915,145,6,1
bb,1067,164,6,1
dc,1067,55,6,1
rappas,1067,171,6,1
bb,1227,198,6,1
dc,1227,101,6,1
rappas,1227,225,6,1
bb,1570,152,6,1
dc,1570,72,6,1
rappas,1570,171,6,1
bb,1213,183,6,1
dc,1213,62,6,1
rappas,1213,172,6,1
bb,955,165,6,1
dc,955,47,6,1
rappas,955,156,6,1
bb,1187,151,6,1
dc,1187,61,6,1
rappas,1187,165,6,1
bb,1061,145,6,1
dc,1061,50,6,1
rappas,1061,151,6,1
bb,782,125,6,1
dc,782,40,6,1
rappas,782,123,6,1
bb,940,130,6,1
dc,940,47,6,1
rappas,940,128,6,1
bb,1102,165,6,1
dc,1102,53,6,1
rappas,1102,168,6,1
bb,1073,149,6,1
dc,1073,51,6,1
rappas,1073,137,6,1
bb,879,177,6,1
dc,879,44,6,1
rappas,879,143,6,1
bb,868,146,6,1
dc,868,45,6,1
rappas,868,139,6,1
bb,652,104,6,1
dc,652,36,6,1
rappas,652,115,6,1
bb,997,142,6,1
dc,997,49,6,1
rappas,997,154,6,1
bb,968,173,6,1
dc,968,54,6,1
rappas,968,159,6,1
bb,1035,148,6,1
dc,1035,66,6,1
rappas,1035,154,6,1
bb,1190,165,6,1
dc,1190,71,6,1
rappas,1190,175,6,1
bb,1217,140,6,1
dc,1217,67,6,1
rappas,1217,178,6,1
bb,1261,164,6,1
dc,1261,62,6,1
rappas,1261,186,6,1
bb,759,127,6,1
dc,759,41,6,1
rappas,759,111,6,1
bb,943,194,6,1
dc,943,46,6,1
rappas,943,137,6,1
bb,1084,139,6,1
dc,1084,55,6,1
rappas,1084,157,6,1
bb,1275,192,6,1
dc,1275,68,6,1
rappas,1275,189,6,1
bb,1046,152,6,1
dc,1046,51,6,1
rappas,1046,157,6,1
bb,837,151,6,1
dc,837,43,6,1
rappas,837,136,6,1
bb,1049,164,6,1
dc,1049,52,6,1
rappas,1049,294,6,1
bb,1222,130,6,1
dc,1222,54,6,1
rappas,1222,133,6,1
bb,1036,106,6,1
dc,1036,40,6,1
rappas,1036,117,6,1
bb,1369,203,6,1
dc,1369,65,6,1
rappas,1369,183,6,1
bb,1250,146,6,1
dc,1250,53,6,1
rappas,1250,202,6,1
bb,1014,160,6,1
dc,1014,61,6,1
rappas,1014,162,6,1
bb,971,199,6,1
dc,971,45,6,1
rappas,971,117,6,1
bb,1075,174,6,1
dc,1075,44,6,1
rappas,1075,115,6,1
bb,1158,198,6,1
dc,1158,55,6,1
rappas,1158,140,6,1
bb,1080,173,6,1
dc,1080,50,6,1
rappas,1080,130,6,1
bb,993,150,6,1
dc,993,36,6,1
rappas,993,117,6,1
bb,760,109,6,1
dc,760,29,6,1
rappas,760,92,6,1
bb,879,95,6,1
dc,879,34,6,1
rappas,879,104,6,1
bb,1297,250,6,1
dc,1297,58,6,1
rappas,1297,153,6,1
bb,832,95,6,1
dc,832,33,6,1
rappas,832,90,6,1
bb,868,141,6,1
dc,868,37,6,1
rappas,868,101,6,1
bb,984,106,6,1
dc,984,35,6,1
rappas,984,101,6,1
bb,1145,143,6,1
dc,1145,43,6,1
rappas,1145,134,6,1
bb,1053,115,6,1
dc,1053,38,6,1
rappas,1053,114,6,1
bb,847,116,6,1
dc,847,34,6,1
rappas,847,103,6,1
bb,908,111,6,1
dc,908,36,6,1
rappas,908,108,6,1
bb,1179,129,6,1
dc,1179,47,6,1
rappas,1179,123,6,1
bb,902,90,6,1
dc,902,34,6,1
rappas,902,108,6,1
bb,794,113,6,1
dc,794,57,6,1
rappas,794,168,6,1
bb,1117,193,6,1
dc,1117,61,6,1
rappas,1117,123,6,1
bb,1270,117,6,1
dc,1270,50,6,1
rappas,1270,132,6,1
bb,1185,148,6,1
dc,1185,45,6,1
rappas,1185,134,6,1
bb,1462,233,6,1
dc,1462,62,6,1
rappas,1462,158,6,1
bb,949,137,6,1
dc,949,35,6,1
rappas,949,112,6,1
bb,1011,129,6,1
dc,1011,37,6,1
rappas,1011,116,6,1
bb,1013,110,6,1
dc,1013,38,6,1
rappas,1013,101,6,1
bb,715,122,6,1
dc,715,29,6,1
rappas,715,101,6,1
bb,1443,143,6,1
dc,1443,49,6,1
rappas,1443,145,6,1
bb,777,111,6,1
dc,777,31,6,1
rappas,777,92,6,1
bb,1032,118,6,1
dc,1032,36,6,1
rappas,1032,116,6,1
bb,1192,144,6,1
dc,1192,46,6,1
rappas,1192,135,6,1
bb,950,108,6,1
dc,950,37,6,1
rappas,950,113,6,1
bb,1215,156,6,1
dc,1215,59,6,1
rappas,1215,272,6,1
bb,1148,150,6,1
dc,1148,46,6,1
rappas,1148,135,6,1
bb,1439,144,6,1
dc,1439,56,6,1
rappas,1439,143,6,1
bb,1031,141,6,1
dc,1031,38,6,1
rappas,1031,113,6,1
bb,790,91,6,1
dc,790,29,6,1
rappas,790,95,6,1
bb,987,109,6,1
dc,987,33,6,1
rappas,987,120,6,1
bb,981,111,6,1
dc,981,35,6,1
rappas,981,109,6,1
bb,1136,136,6,1
dc,1136,44,6,1
rappas,1136,133,6,1
bb,1079,136,6,1
dc,1079,37,6,1
rappas,1079,120,6,1
bb,1239,136,6,1
dc,1239,47,6,1
rappas,1239,138,6,1
bb,1164,113,6,1
dc,1164,43,6,1
rappas,1164,108,6,1
bb,1065,124,6,1
dc,1065,37,6,1
rappas,1065,124,6,1
bb,979,133,6,1
dc,979,36,6,1
rappas,979,122,6,1
bb,1047,126,6,1
dc,1047,38,6,1
rappas,1047,117,6,1
bb,1073,226,6,1
dc,1073,48,6,1
rappas,1073,116,6,1
bb,748,104,6,1
dc,748,30,6,1
rappas,748,93,6,1
bb,1094,117,6,1
dc,1094,38,6,1
rappas,1094,128,6,1
bb,1243,148,6,1
dc,1243,45,6,1
rappas,1243,130,6,1
bb,1010,101,6,1
dc,1010,36,6,1
rappas,1010,95,6,1
bb,1088,123,6,1
dc,1088,38,6,1
rappas,1088,110,6,1
bb,1018,122,6,1
dc,1018,34,6,1
rappas,1018,122,6,1
bb,873,117,6,1
dc,873,33,6,1
rappas,873,106,6,1
bb,1077,110,6,1
dc,1077,37,6,1
rappas,1077,121,6,1
bb,816,112,6,1
dc,816,31,6,1
rappas,816,99,6,1
bb,1071,132,6,1
dc,1071,38,6,1
rappas,1071,126,6,1
bb,1096,137,6,1
dc,1096,38,6,1
rappas,1096,129,6,1
bb,776,106,6,1
dc,776,31,6,1
rappas,776,93,6,1
bb,858,156,6,1
dc,858,36,6,1
rappas,858,116,6,1
bb,1117,139,6,1
dc,1117,45,6,1
rappas,1117,137,6,1
bb,748,95,6,1
dc,748,31,6,1
rappas,748,92,6,1
bb,1233,122,6,1
dc,1233,48,6,1
rappas,1233,135,6,1
bb,1011,125,6,1
dc,1011,37,6,1
rappas,1011,112,6,1
bb,1292,146,6,1
dc,1292,48,6,1
rappas,1292,147,6,1
bb,925,124,6,1
dc,925,37,6,1
rappas,925,110,6,1
bb,1125,130,6,1
dc,1125,46,6,1
rappas,1125,131,6,1
bb,1069,104,6,1
dc,1069,37,6,1
rappas,1069,110,6,1
bb,1242,144,6,1
dc,1242,50,6,1
rappas,1242,140,6,1
bb,863,96,6,1
dc,863,33,6,1
rappas,863,122,6,1
bb,1321,145,6,1
dc,1321,49,6,1
rappas,1321,141,6,1
bb,1161,133,6,1
dc,1161,61,6,1
rappas,1161,141,6,1
bb,1200,127,6,1
dc,1200,48,6,1
rappas,1200,142,6,1
bb,597,92,6,1
dc,597,26,6,1
rappas,597,80,6,1
bb,961,100,6,1
dc,961,37,6,1
rappas,961,109,6,1
bb,980,121,6,1
dc,980,35,6,1
rappas,980,116,6,1
bb,963,115,6,1
dc,963,35,6,1
rappas,963,106,6,1
bb,1040,110,6,1
dc,1040,39,6,1
rappas,1040,98,6,1
bb,874,119,6,1
dc,874,34,6,1
rappas,874,105,6,1
bb,1037,131,6,1
dc,1037,38,6,1
rappas,1037,128,6,1
bb,1247,155,6,1
dc,1247,47,6,1
rappas,1247,140,6,1
bb,1264,136,6,1
dc,1264,48,6,1
rappas,1264,145,6,1
bb,934,129,6,1
dc,934,35,6,1
rappas,934,112,6,1
bb,901,107,6,1
dc,901,33,6,1
rappas,901,98,6,1
bb,1167,114,6,1
dc,1167,46,6,1
rappas,1167,119,6,1
bb,883,90,6,1
dc,883,34,6,1
rappas,883,103,6,1
bb,1188,120,6,1
dc,1188,46,6,1
rappas,1188,107,6,1
bb,1067,146,6,1
dc,1067,36,6,1
rappas,1067,129,6,1
bb,1150,126,6,1
dc,1150,44,6,1
rappas,1150,122,6,1
bb,843,120,6,1
dc,843,32,6,1
rappas,843,98,6,1
bb,1213,131,6,1
dc,1213,45,6,1
rappas,1213,132,6,1
bb,1026,133,6,1
dc,1026,38,6,1
rappas,1026,114,6,1
bb,1208,126,6,1
