alg,num_kmers,time,k,omega
bb,939,73,6,1
dc,939,81,6,1
bb,955,65,6,1
dc,955,48,6,1
bb,784,58,6,1
dc,784,35,6,1
bb,1391,81,6,1
dc,1391,75,6,1
bb,1150,68,6,1
dc,1150,49,6,1
bb,1025,59,6,1
dc,1025,41,6,1
bb,1135,78,6,1
dc,1135,52,6,1
bb,936,54,6,1
dc,936,44,6,1
bb,1171,169,6,1
dc,1171,73,6,1
bb,976,103,6,1
dc,976,42,6,1
bb,1227,90,6,1
dc,1227,133,6,1
bb,957,173,6,1
dc,957,62,6,1
bb,1030,189,6,1
dc,1030,69,6,1
bb,841,256,6,1
dc,841,72,6,1
bb,1364,202,6,1
dc,1364,99,6,1
bb,1263,210,6,1
dc,1263,99,6,1
bb,1140,83,6,1
dc,1140,52,6,1
bb,776,55,6,1
dc,776,32,6,1
bb,808,54,6,1
dc,808,34,6,1
bb,1040,150,6,1
dc,1040,52,6,1
bb,1258,236,6,1
dc,1258,97,6,1
bb,1066,224,6,1
dc,1066,74,6,1
bb,1167,80,6,1
dc,1167,72,6,1
bb,863,54,6,1
dc,863,35,6,1
bb,1322,354,6,1
dc,1322,118,6,1
bb,1182,85,6,1
dc,1182,81,6,1
bb,937,63,6,1
dc,937,79,6,1
bb,1268,77,6,1
dc,1268,60,6,1
bb,698,63,6,1
dc,698,32,6,1
bb,640,50,6,1
dc,640,33,6,1
bb,1310,75,6,1
dc,1310,53,6,1
bb,1250,70,6,1
dc,1250,50,6,1
bb,1329,82,6,1
dc,1329,54,6,1
bb,1209,70,6,1
dc,1209,51,6,1
bb,911,53,6,1
dc,911,37,6,1
bb,620,55,6,1
dc,620,32,6,1
bb,780,50,6,1
dc,780,34,6,1
bb,776,57,6,1
dc,776,33,6,1
bb,992,58,6,1
dc,992,39,6,1
bb,897,59,6,1
dc,897,36,6,1
bb,1159,70,6,1
dc,1159,50,6,1
bb,935,69,6,1
dc,935,39,6,1
bb,1044,63,6,1
dc,1044,39,6,1
bb,807,59,6,1
dc,807,33,6,1
bb,1195,69,6,1
dc,1195,49,6,1
bb,1011,49,6,1
dc,1011,40,6,1
bb,866,62,6,1
dc,866,38,6,1
bb,1003,60,6,1
dc,1003,39,6,1
bb,1460,78,6,1
dc,1460,56,6,1
bb,1200,83,6,1
dc,1200,49,6,1
bb,884,68,6,1
dc,884,36,6,1
bb,989,62,6,1
dc,989,38,6,1
bb,1092,100,6,1
dc,1092,45,6,1
bb,915,67,6,1
dc,915,37,6,1
bb,1067,66,6,1
dc,1067,43,6,1
bb,1227,81,6,1
dc,1227,57,6,1
bb,1570,62,6,1
dc,1570,60,6,1
bb,1213,80,6,1
dc,1213,64,6,1
bb,955,66,6,1
dc,955,39,6,1
bb,1187,70,6,1
dc,1187,48,6,1
bb,1061,43,6,1
dc,1061,41,6,1
bb,782,56,6,1
dc,782,34,6,1
bb,940,60,6,1
dc,940,39,6,1
bb,1102,70,6,1
dc,1102,42,6,1
bb,1073,67,6,1
dc,1073,42,6,1
bb,879,65,6,1
dc,879,36,6,1
bb,868,53,6,1
dc,868,36,6,1
bb,652,52,6,1
dc,652,30,6,1
bb,997,60,6,1
dc,997,41,6,1
bb,968,70,6,1
dc,968,39,6,1
bb,1035,66,6,1
dc,1035,42,6,1
bb,1190,76,6,1
dc,1190,52,6,1
bb,1217,67,6,1
dc,1217,51,6,1
bb,1261,83,6,1
dc,1261,50,6,1
bb,759,51,6,1
dc,759,33,6,1
bb,943,50,6,1
dc,943,37,6,1
bb,1084,52,6,1
dc,1084,40,6,1
bb,1275,80,6,1
dc,1275,50,6,1
bb,1046,73,6,1
dc,1046,41,6,1
bb,837,63,6,1
dc,837,35,6,1
bb,1049,70,6,1
dc,1049,42,6,1
bb,1222,74,6,1
dc,1222,53,6,1
bb,1036,66,6,1
dc,1036,43,6,1
